epoch,step,train_loss,val_loss
0,49,nan,
0,99,nan,
0,149,nan,
0,199,nan,
0,249,nan,
0,299,nan,
0,349,nan,
0,399,nan,
0,449,nan,
0,499,nan,
0,549,nan,
0,599,nan,
0,649,nan,
0,699,nan,
0,749,nan,
0,799,nan,
0,849,nan,
0,899,nan,
0,949,nan,
0,999,nan,
0,1049,nan,
0,1099,nan,
0,1149,nan,
0,1199,nan,
0,1249,nan,
0,1299,nan,
0,1349,nan,
0,1399,nan,
0,1449,nan,
0,1499,nan,
0,1549,nan,
0,1599,nan,
0,1649,nan,
0,1699,nan,
0,1749,nan,
0,1799,nan,
0,1849,nan,
0,1899,nan,
0,1949,nan,
0,1999,nan,
0,2049,nan,
0,2099,nan,
0,2149,nan,
0,2199,nan,
0,2249,nan,
0,2299,nan,
0,2349,nan,
0,2399,nan,
0,2449,nan,
0,2499,nan,
0,2549,nan,
0,2599,nan,
0,2649,nan,
0,2699,nan,
0,2749,nan,
0,2799,nan,
0,2849,nan,
0,2899,nan,
0,2949,nan,
0,2999,nan,
0,3049,nan,
0,3099,nan,
0,3149,nan,
0,3199,nan,
0,3249,nan,
0,3257,,nan
1,3299,nan,
1,3349,nan,
1,3399,nan,
1,3449,nan,
1,3499,nan,
1,3549,nan,
1,3599,nan,
1,3649,nan,
1,3699,nan,
1,3749,nan,
1,3799,nan,
1,3849,nan,
1,3899,nan,
1,3949,nan,
1,3999,nan,
1,4049,nan,
1,4099,nan,
1,4149,nan,
1,4199,nan,
1,4249,nan,
1,4299,nan,
1,4349,nan,
1,4399,nan,
1,4449,nan,
1,4499,nan,
1,4549,nan,
1,4599,nan,
1,4649,nan,
1,4699,nan,
1,4749,nan,
1,4799,nan,
1,4849,nan,
1,4899,nan,
1,4949,nan,
1,4999,nan,
1,5049,nan,
1,5099,nan,
1,5149,nan,
1,5199,nan,
1,5249,nan,
1,5299,nan,
1,5349,nan,
1,5399,nan,
1,5449,nan,
1,5499,nan,
1,5549,nan,
1,5599,nan,
1,5649,nan,
1,5699,nan,
1,5749,nan,
1,5799,nan,
1,5849,nan,
1,5899,nan,
1,5949,nan,
1,5999,nan,
1,6049,nan,
1,6099,nan,
1,6149,nan,
1,6199,nan,
1,6249,nan,
1,6299,nan,
1,6349,nan,
1,6399,nan,
1,6449,nan,
1,6499,nan,
1,6515,,nan
2,6549,nan,
2,6599,nan,
2,6649,nan,
2,6699,nan,
2,6749,nan,
2,6799,nan,
2,6849,nan,
2,6899,nan,
2,6949,nan,
2,6999,nan,
2,7049,nan,
2,7099,nan,
2,7149,nan,
2,7199,nan,
2,7249,nan,
2,7299,nan,
2,7349,nan,
2,7399,nan,
2,7449,nan,
2,7499,nan,
2,7549,nan,
2,7599,nan,
2,7649,nan,
2,7699,nan,
2,7749,nan,
2,7799,nan,
2,7849,nan,
2,7899,nan,
2,7949,nan,
2,7999,nan,
2,8049,nan,
2,8099,nan,
2,8149,nan,
2,8199,nan,
2,8249,nan,
2,8299,nan,
2,8349,nan,
2,8399,nan,
2,8449,nan,
2,8499,nan,
2,8549,nan,
2,8599,nan,
2,8649,nan,
2,8699,nan,
2,8749,nan,
2,8799,nan,
2,8849,nan,
2,8899,nan,
2,8949,nan,
2,8999,nan,
2,9049,nan,
2,9099,nan,
2,9149,nan,
2,9199,nan,
2,9249,nan,
2,9299,nan,
2,9349,nan,
2,9399,nan,
2,9449,nan,
2,9499,nan,
2,9549,nan,
2,9599,nan,
2,9649,nan,
2,9699,nan,
2,9749,nan,
2,9773,,nan
3,9799,nan,
3,9849,nan,
3,9899,nan,
3,9949,nan,
3,9999,nan,
3,10049,nan,
3,10099,nan,
3,10149,nan,
3,10199,nan,
3,10249,nan,
3,10299,nan,
3,10349,nan,
3,10399,nan,
3,10449,nan,
3,10499,nan,
3,10549,nan,
3,10599,nan,
3,10649,nan,
3,10699,nan,
3,10749,nan,
3,10799,nan,
3,10849,nan,
3,10899,nan,
3,10949,nan,
3,10999,nan,
3,11049,nan,
3,11099,nan,
3,11149,nan,
3,11199,nan,
3,11249,nan,
3,11299,nan,
3,11349,nan,
3,11399,nan,
3,11449,nan,
3,11499,nan,
3,11549,nan,
3,11599,nan,
3,11649,nan,
3,11699,nan,
3,11749,nan,
3,11799,nan,
3,11849,nan,
3,11899,nan,
3,11949,nan,
3,11999,nan,
3,12049,nan,
3,12099,nan,
3,12149,nan,
3,12199,nan,
3,12249,nan,
3,12299,nan,
3,12349,nan,
3,12399,nan,
3,12449,nan,
3,12499,nan,
3,12549,nan,
3,12599,nan,
3,12649,nan,
3,12699,nan,
3,12749,nan,
3,12799,nan,
3,12849,nan,
3,12899,nan,
3,12949,nan,
3,12999,nan,
3,13031,,nan
4,13049,nan,
4,13099,nan,
4,13149,nan,
4,13199,nan,
4,13249,nan,
4,13299,nan,
4,13349,nan,
4,13399,nan,
4,13449,nan,
4,13499,nan,
4,13549,nan,
4,13599,nan,
4,13649,nan,
4,13699,nan,
4,13749,nan,
4,13799,nan,
4,13849,nan,
4,13899,nan,
4,13949,nan,
4,13999,nan,
4,14049,nan,
4,14099,nan,
4,14149,nan,
4,14199,nan,
4,14249,nan,
4,14299,nan,
4,14349,nan,
4,14399,nan,
4,14449,nan,
4,14499,nan,
4,14549,nan,
4,14599,nan,
4,14649,nan,
4,14699,nan,
4,14749,nan,
4,14799,nan,
4,14849,nan,
4,14899,nan,
4,14949,nan,
4,14999,nan,
4,15049,nan,
4,15099,nan,
4,15149,nan,
4,15199,nan,
4,15249,nan,
4,15299,nan,
4,15349,nan,
4,15399,nan,
4,15449,nan,
4,15499,nan,
4,15549,nan,
4,15599,nan,
4,15649,nan,
4,15699,nan,
4,15749,nan,
4,15799,nan,
4,15849,nan,
4,15899,nan,
4,15949,nan,
4,15999,nan,
4,16049,nan,
4,16099,nan,
4,16149,nan,
4,16199,nan,
4,16249,nan,
4,16289,,nan
5,16299,nan,
5,16349,nan,
5,16399,nan,
5,16449,nan,
5,16499,nan,
5,16549,nan,
5,16599,nan,
5,16649,nan,
5,16699,nan,
5,16749,nan,
5,16799,nan,
5,16849,nan,
5,16899,nan,
5,16949,nan,
5,16999,nan,
5,17049,nan,
5,17099,nan,
5,17149,nan,
5,17199,nan,
5,17249,nan,
5,17299,nan,
5,17349,nan,
5,17399,nan,
5,17449,nan,
5,17499,nan,
5,17549,nan,
5,17599,nan,
5,17649,nan,
5,17699,nan,
5,17749,nan,
5,17799,nan,
5,17849,nan,
5,17899,nan,
5,17949,nan,
5,17999,nan,
5,18049,nan,
5,18099,nan,
5,18149,nan,
5,18199,nan,
5,18249,nan,
5,18299,nan,
5,18349,nan,
5,18399,nan,
5,18449,nan,
5,18499,nan,
5,18549,nan,
5,18599,nan,
5,18649,nan,
5,18699,nan,
5,18749,nan,
5,18799,nan,
5,18849,nan,
5,18899,nan,
5,18949,nan,
5,18999,nan,
5,19049,nan,
5,19099,nan,
5,19149,nan,
5,19199,nan,
5,19249,nan,
5,19299,nan,
5,19349,nan,
5,19399,nan,
5,19449,nan,
5,19499,nan,
5,19547,,nan
6,19549,nan,
6,19599,nan,
6,19649,nan,
6,19699,nan,
6,19749,nan,
6,19799,nan,
6,19849,nan,
6,19899,nan,
6,19949,nan,
6,19999,nan,
6,20049,nan,
6,20099,nan,
6,20149,nan,
6,20199,nan,
6,20249,nan,
6,20299,nan,
6,20349,nan,
6,20399,nan,
6,20449,nan,
6,20499,nan,
6,20549,nan,
6,20599,nan,
6,20649,nan,
6,20699,nan,
6,20749,nan,
6,20799,nan,
6,20849,nan,
6,20899,nan,
6,20949,nan,
6,20999,nan,
6,21049,nan,
6,21099,nan,
6,21149,nan,
6,21199,nan,
6,21249,nan,
6,21299,nan,
6,21349,nan,
6,21399,nan,
6,21449,nan,
6,21499,nan,
6,21549,nan,
6,21599,nan,
6,21649,nan,
6,21699,nan,
6,21749,nan,
6,21799,nan,
6,21849,nan,
6,21899,nan,
6,21949,nan,
6,21999,nan,
6,22049,nan,
6,22099,nan,
6,22149,nan,
6,22199,nan,
6,22249,nan,
6,22299,nan,
6,22349,nan,
6,22399,nan,
6,22449,nan,
6,22499,nan,
6,22549,nan,
6,22599,nan,
6,22649,nan,
6,22699,nan,
6,22749,nan,
6,22799,nan,
6,22805,,nan
7,22849,nan,
7,22899,nan,
7,22949,nan,
7,22999,nan,
7,23049,nan,
7,23099,nan,
7,23149,nan,
7,23199,nan,
7,23249,nan,
7,23299,nan,
7,23349,nan,
7,23399,nan,
7,23449,nan,
7,23499,nan,
7,23549,nan,
7,23599,nan,
7,23649,nan,
7,23699,nan,
7,23749,nan,
7,23799,nan,
7,23849,nan,
7,23899,nan,
7,23949,nan,
7,23999,nan,
7,24049,nan,
7,24099,nan,
7,24149,nan,
7,24199,nan,
7,24249,nan,
7,24299,nan,
7,24349,nan,
7,24399,nan,
7,24449,nan,
7,24499,nan,
7,24549,nan,
7,24599,nan,
7,24649,nan,
7,24699,nan,
7,24749,nan,
7,24799,nan,
7,24849,nan,
7,24899,nan,
7,24949,nan,
7,24999,nan,
7,25049,nan,
7,25099,nan,
7,25149,nan,
7,25199,nan,
7,25249,nan,
7,25299,nan,
7,25349,nan,
7,25399,nan,
7,25449,nan,
7,25499,nan,
7,25549,nan,
7,25599,nan,
7,25649,nan,
7,25699,nan,
7,25749,nan,
7,25799,nan,
7,25849,nan,
7,25899,nan,
7,25949,nan,
7,25999,nan,
7,26049,nan,
7,26063,,nan
8,26099,nan,
8,26149,nan,
8,26199,nan,
8,26249,nan,
8,26299,nan,
8,26349,nan,
8,26399,nan,
8,26449,nan,
8,26499,nan,
8,26549,nan,
8,26599,nan,
8,26649,nan,
8,26699,nan,
8,26749,nan,
8,26799,nan,
8,26849,nan,
8,26899,nan,
8,26949,nan,
8,26999,nan,
8,27049,nan,
8,27099,nan,
8,27149,nan,
8,27199,nan,
8,27249,nan,
8,27299,nan,
8,27349,nan,
8,27399,nan,
8,27449,nan,
8,27499,nan,
8,27549,nan,
8,27599,nan,
8,27649,nan,
8,27699,nan,
8,27749,nan,
8,27799,nan,
8,27849,nan,
8,27899,nan,
8,27949,nan,
8,27999,nan,
8,28049,nan,
8,28099,nan,
8,28149,nan,
8,28199,nan,
8,28249,nan,
8,28299,nan,
8,28349,nan,
8,28399,nan,
8,28449,nan,
8,28499,nan,
8,28549,nan,
8,28599,nan,
8,28649,nan,
8,28699,nan,
8,28749,nan,
8,28799,nan,
8,28849,nan,
8,28899,nan,
8,28949,nan,
8,28999,nan,
8,29049,nan,
8,29099,nan,
8,29149,nan,
8,29199,nan,
8,29249,nan,
8,29299,nan,
8,29321,,nan
9,29349,nan,
9,29399,nan,
9,29449,nan,
9,29499,nan,
9,29549,nan,
9,29599,nan,
9,29649,nan,
9,29699,nan,
9,29749,nan,
9,29799,nan,
9,29849,nan,
9,29899,nan,
9,29949,nan,
9,29999,nan,
9,30049,nan,
9,30099,nan,
9,30149,nan,
9,30199,nan,
9,30249,nan,
9,30299,nan,
9,30349,nan,
9,30399,nan,
9,30449,nan,
9,30499,nan,
9,30549,nan,
9,30599,nan,
9,30649,nan,
9,30699,nan,
9,30749,nan,
9,30799,nan,
9,30849,nan,
9,30899,nan,
9,30949,nan,
9,30999,nan,
9,31049,nan,
9,31099,nan,
9,31149,nan,
9,31199,nan,
9,31249,nan,
9,31299,nan,
9,31349,nan,
9,31399,nan,
9,31449,nan,
9,31499,nan,
9,31549,nan,
9,31599,nan,
9,31649,nan,
9,31699,nan,
9,31749,nan,
9,31799,nan,
9,31849,nan,
9,31899,nan,
9,31949,nan,
9,31999,nan,
9,32049,nan,
9,32099,nan,
9,32149,nan,
9,32199,nan,
9,32249,nan,
9,32299,nan,
9,32349,nan,
9,32399,nan,
9,32449,nan,
9,32499,nan,
9,32549,nan,
9,32579,,nan
